"Name"	"Item ID"	"Item page URL"	"Item IMG URL"	"Item availability"	"Item price"	"Item price w/o discount"
"Камин барбекю Фиеста"	""	"https://prom.ua/p386454135-kamin-barbekyu-fiesta.html"	"https://images.ua.prom.st/1428700338_w640_h640_kamin-barbekyu-fiesta.jpg"	"true"	"6999.0"	"8500.0"
"Камин барбекю Престиж (терракот)"	""	"https://prom.ua/p386454131-kamin-barbekyu-prestizh.html"	"https://images.ua.prom.st/631677596_w640_h640_kamin-barbekyu-prestizh.jpg"	"true"	"19900.0"	"19900.0"
"Мангал (чемодан) на 6 шампуров"	"2114"	"https://prom.ua/p916969213-mangal-chemodan-shampurov.html"	"https://images.ua.prom.st/1651010233_w640_h640_mangal-chemodan-na.jpg"	"true"	"370.0"	"370.0"
"Гриль-коптильня угольный портативный Time Eco TE-2014-10 (гриль, барбекю, мангал) Гриль-коптильня угольный портативный Time Eco TE-2014-10 (гриль, барбекю, мангал)"	"4820211100124"	"https://prom.ua/p711432542-gril-koptilnya-ugolnyj.html"	"https://images.ua.prom.st/1845803405_w640_h640_gril-koptilnya-ugolnyj-portativnyj.jpg"	"false"	"4799.0"	"5190.0"
"Раскладной мангал "Вакула" для пикника на 6 шампуров"	"670"	"https://prom.ua/p19395866-raskladnoj-mangal-vakula.html"	"https://images.ua.prom.st/81116697_w640_h640_raskladnoj-mangal-vakula.jpg"	"true"	"285.0"	"285.0"
"Угольный гриль Telehit Garden Fodable 14 Угольный гриль Telehit Garden Fodable 14"	""	"https://prom.ua/p707501149-ugolnyj-gril-telehit.html"	"https://images.ua.prom.st/1171627736_w640_h640_ugolnyj-gril-telehit.jpg"	"false"	"735.0"	"900.0"
"Турбо-костёр Vogner модель 2."	"Vogner 2"	"https://prom.ua/p994691293-turbo-kostyor-vogner.html"	"https://images.ua.prom.st/1854563275_w640_h640_turbo-kostyor-vogner-model.jpg"	"true"	"1950.0"	"1950.0"
"Мангал Еліт вишукана окраса відпочинку"	""	"https://prom.ua/p931271136-mangal-elit-vishukana.html"	"https://images.ua.prom.st/1723802138_w640_h640_mangal-elit-vishukana.jpg"	"true"	"1950.0"	"1950.0"
"Печь для казана."	"ПК1"	"https://prom.ua/p59508492-pech-dlya-kazana.html"	"https://images.ua.prom.st/1031703710_w640_h640_pech-dlya-kazana.jpg"	"true"	"1560.0"	"1760.0"
"Мангал на 8 шампуров."	""	"https://prom.ua/p555225450-mangal-shampurov.html"	"https://images.ua.prom.st/1095861459_w640_h640_kamin-barbekyu-vezuvij.jpg"	"true"	"14300.0"	"16000.0"
"Камин барбекю Везувий кварц (песочный)"	""	"https://prom.ua/p670532152-kamin-barbekyu-vezuvij.html"	"https://images.ua.prom.st/1095861459_w640_h640_kamin-barbekyu-vezuvij.jpg"	"true"	"14300.0"	"16000.0"
"Газовый гриль CLATRONIC(Оригинал)Германия Газовый гриль CLATRONIC(Оригинал)Германия"	"3590"	"https://prom.ua/p963041748-gazovyj-gril-clatronicoriginalgermaniya.html"	"https://images.ua.prom.st/1772581057_w640_h640_gazovyj-gril-clatronicoriginalgermaniya.jpg"	"false"	"4649.0"	"4649.0"
"Мангал 400х250х400 мм + 6 угловых шампуров СКАУТ 0-725"	"86-725"	"https://prom.ua/p709889792-mangal-400h250h400-uglovyh.html"	"https://images.ua.prom.st/1638073928_w640_h640_ventilyator-dlya-barbekyu.jpg"	"false"	"155.0"	"6700.0"
"Печь казан-мангал 3в1 "Гюльчатай", 2мм, с чехлом"	"24196"	"https://prom.ua/p491966267-pech-kazan-mangal.html"	"https://images.ua.prom.st/1638073928_w640_h640_ventilyator-dlya-barbekyu.jpg"	"false"	"155.0"	"6700.0"
"Вентилятор для барбекю гриля мангала Вентилятор для барбекю гриля мангала"	"24196"	"https://prom.ua/p911252198-ventilyator-dlya-barbekyu.html"	"https://images.ua.prom.st/1638073928_w640_h640_ventilyator-dlya-barbekyu.jpg"	"false"	"155.0"	"6700.0"
"Камин барбекю Комби"	""	"https://prom.ua/p386454121-kamin-barbekyu-kombi.html"	"https://images.ua.prom.st/631676404_w640_h640_kamin-barbekyu-kombi.jpg"	"true"	"6700.0"	"6700.0"
"Мангал складной "Чемодан" на 10 шампуров ( 2 мм) Мангал складной "Чемодан" на 10 шампуров ( 2 мм)"	""	"https://prom.ua/p949076435-mangal-skladnoj-chemodan.html"	"https://images.ua.prom.st/1730678231_w640_h640_mangal-skladnoj-chemodan.jpg"	"false"	"365.0"	"365.0"
"Складной мангал-барбекю + Набор для гриля в подарок"	"ТЗ005"	"https://prom.ua/p939080385-skladnoj-mangal-barbekyu.html"	"https://images.ua.prom.st/1703458431_w640_h640_skladnoj-mangal-barbekyu-.jpg"	"true"	"848.0"	"990.0"
"Крышка для мангал-сковороды из диска бороны 50 см"	"МР 001"	"https://prom.ua/p943062139-kryshka-dlya-mangal.html"	"https://images.ua.prom.st/1715178806_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1364.44"	"1772.0"
"Гриль барбекю GoodHome A-K18T (8006) Гриль барбекю GoodHome A-K18T (8006)"	"8006"	"https://prom.ua/p943392417-gril-barbekyu-goodhome.html"	"https://images.ua.prom.st/1715178806_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1364.44"	"1772.0"
"Мангал раскладной, эксклюзивный "Дикий бык", сталь 1,5 мм."	"8006"	"https://prom.ua/p989297031-mangal-raskladnoj-eksklyuzivnyj.html"	"https://images.ua.prom.st/1715178806_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1364.44"	"1772.0"
"Чехол для мангал-сковороды из диска бороны 30 см"	"1097"	"https://prom.ua/p943063435-chehol-dlya-mangal.html"	"https://images.ua.prom.st/1714836057_w640_h640_chehol-dlya-mangal-skovorody.jpg"	"true"	"400.0"	"400.0"
"Компактный складной мангал гриль барбекю Ba Ba Le + решетка для гриля"	"46613"	"https://prom.ua/p984648883-kompaktnyj-skladnoj-mangal.html"	"https://images.ua.prom.st/1827264118_w640_h640_kompaktnyj-skladnoj-mangal.jpg"	"true"	"358.0"	"358.0"
"Угольный гриль GOODHOME AK18T Угольный гриль GOODHOME AK18T"	""	"https://prom.ua/p691682827-ugolnyj-gril-goodhome.html"	"https://images.ua.prom.st/1138018664_w640_h640_ugolnyj-gril-goodhome.jpg"	"false"	"1585.0"	"1785.0"
"Садовая гриль-барбекю Садовая гриль-барбекю"	"5585851225"	"https://prom.ua/p129032852-sadovaya-gril-barbekyu.html"	"https://images.ua.prom.st/210460222_w640_h640_sadovaya-gril-barbekyu.jpg"	"false"	"2800.0"	"3300.0"
"Печь для казана "Бухара-3" комплектация с чугунным казаном 22л"	""	"https://prom.ua/p279106862-pech-dlya-kazana.html"	"https://images.ua.prom.st/819202843_w640_h640_pech-dlya-kazana.jpg"	"true"	"7600.0"	"8360.0"
"Коптильня"	"1325"	"https://prom.ua/p555229584-koptilnya.html"	"https://images.ua.prom.st/837340061_w640_h640_koptilnya.jpg"	"true"	"570.0"	"570.0"
"Гриль угольный Big Green Egg AXXLHD керамический XXL Extra Large 106 см"	""	"https://prom.ua/p948707188-gril-ugolnyj-big.html"	"https://images.ua.prom.st/1729732989_w640_h640_gril-ugolnyj-big.jpg"	"true"	"121586.0"	"121586.0"
"Барбекю гриль мангал складной передвижной на колесах Time Eco TE-2014-2 (круглый, размер 75 х 59,5 х 109 см) Барбекю гриль мангал складной передвижной на колесах Time Eco TE-2014-2 (круглый, размер 75 х 59,5 х 109 см)"	"4000810143351"	"https://prom.ua/p524697387-barbekyu-gril-mangal.html"	"https://images.ua.prom.st/1845784025_w640_h640_barbekyu-gril-mangal.jpg"	"false"	"4399.0"	"4950.0"
"Подставка на 6 шампуров Подставка на 6 шампуров"	""	"https://prom.ua/p681967797-podstavka-shampurov.html"	"https://images.ua.prom.st/1728525643_w640_h640_podstavka-na-6.jpg"	"false"	"47.0"	"47.0"
"Гриль барбекю GoodHome SK30A (8083) Гриль барбекю GoodHome SK30A (8083)"	"7393791425477"	"https://prom.ua/p986198296-gril-barbekyu-goodhome.html"	"https://images.ua.prom.st/1845797034_w640_h640_barbekyu-gril-mangal.jpg"	"false"	"5020.0"	"5580.0"
"Складной мангал-барбекю BBQ Combined barbecue домашний гриль"	"7393791425477"	"https://prom.ua/p872680885-skladnoj-mangal-barbekyu.html"	"https://images.ua.prom.st/1845797034_w640_h640_barbekyu-gril-mangal.jpg"	"false"	"5020.0"	"5580.0"
"Барбекю гриль мангал складной передвижной на колесах Time Eco TE-2014-6 (круглый, размер 53 х 59,5 х 91 см) Барбекю гриль мангал складной передвижной на колесах Time Eco TE-2014-6 (круглый, размер 53 х 59,5 х 91 см)"	"7393791425477"	"https://prom.ua/p524770205-barbekyu-gril-mangal.html"	"https://images.ua.prom.st/1845797034_w640_h640_barbekyu-gril-mangal.jpg"	"false"	"5020.0"	"5580.0"
"Керамический угольный гриль-печь Berghoff 13" 2415703 Керамический угольный гриль-печь Berghoff 13" 2415703"	"2415703"	"https://prom.ua/p983761449-keramicheskij-ugolnyj-gril.html"	"https://images.ua.prom.st/1824686696_w640_h640_keramicheskij-ugolnyj-gril-pech.jpg"	"false"	"8399.0"	"4480.0"
"Мангал с печью для казана М42"	"М42"	"https://prom.ua/p59507603-mangal-pechyu-dlya.html"	"https://images.ua.prom.st/1031702043_w640_h640_mangal-s-pechyu.jpg"	"true"	"3980.0"	"4480.0"
"Угольный гриль Grill & Chill GC0001 Угольный гриль Grill & Chill GC0001"	""	"https://prom.ua/p691656733-ugolnyj-gril-grill.html"	"https://images.ua.prom.st/1746188158_w640_h640_ugolnyj-gril-grill.jpg"	"false"	"1650.0"	"1850.0"
"Гриль-коптильня угольный портативный Time Eco TE-2014-11 (гриль, барбекю, мангал) Гриль-коптильня угольный портативный Time Eco TE-2014-11 (гриль, барбекю, мангал)"	"4820211100131"	"https://prom.ua/p711464463-gril-koptilnya-ugolnyj.html"	"https://images.ua.prom.st/1845805483_w640_h640_gril-koptilnya-ugolnyj-portativnyj.jpg"	"false"	"3799.0"	"4140.0"
"Складной барбекю гриль портативный гриль Bbq Grill Portable Складной барбекю гриль портативный гриль Bbq Grill Portable"	""	"https://prom.ua/p973826625-skladnoj-barbekyu-gril.html"	"https://images.ua.prom.st/1796331880_w640_h640_skladnoj-barbekyu-gril.jpg"	"false"	"310.0"	"310.0"
"Гриль барбекю GoodHome A-SK4836T (8000) Гриль барбекю GoodHome A-SK4836T (8000)"	"8000"	"https://prom.ua/p944004730-gril-barbekyu-goodhome.html"	"https://images.ua.prom.st/1716569394_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1284.36"	"1668.0"
"Гриль садовый Grill & Chill GC0009 Гриль садовый Grill & Chill GC0009"	""	"https://prom.ua/p942185389-gril-sadovyj-grill.html"	"https://images.ua.prom.st/1712531871_w640_h640_gril-sadovyj-grill.jpg"	"false"	"1699.0"	"1899.0"
"Мангал с дровницей "Старая крепость" комплектация-1"	""	"https://prom.ua/p106157422-mangal-drovnitsej-staraya.html"	"https://images.ua.prom.st/313548944_w640_h640_mangal-s-drovnitsej.jpg"	"true"	"2000.0"	"2576.0"
"Сковорода из диска бороны 40 см со съемными ручками"	"20002"	"https://prom.ua/p685190782-skovoroda-diska-borony.html"	"https://images.ua.prom.st/1122097121_w640_h640_skovoroda-iz-diska.jpg"	"true"	"390.0"	"390.0"
"Складной барбекю гриль портативный гриль Bbq Grill Portable Складной барбекю гриль портативный гриль Bbq Grill Portable"	""	"https://prom.ua/p973634720-skladnoj-barbekyu-gril.html"	"https://images.ua.prom.st/1831140593_w640_h640_skladnoj-barbekyu-gril.jpg"	"false"	"310.0"	"310.0"
"Складной барбекю гриль портативный Bbq Grill Portable - 150742"	"150742"	"https://prom.ua/p989145610-skladnoj-barbekyu-gril.html"	"https://images.ua.prom.st/1839067425_w640_h640_skladnoj-barbekyu-gril.jpg"	"true"	"399.0"	"399.0"
"Мангал чемодан "Вакула" на 8 шампуров"	"669"	"https://prom.ua/p685190720-mangal-chemodan-vakula.html"	"https://images.ua.prom.st/1122087810_w640_h640_mangal-chemodan-vakula.jpg"	"true"	"315.0"	"315.0"
"Гриль тележка GoodHome SL4828 Гриль тележка GoodHome SL4828"	""	"https://prom.ua/p756470201-gril-telezhka-goodhome.html"	"https://images.ua.prom.st/1278498088_w640_h640_gril-telezhka-goodhome.jpg"	"false"	"999.0"	"1199.0"
"Гриль барбекю GoodHome A-SK18T (8022) Гриль барбекю GoodHome A-SK18T (8022)"	"8022"	"https://prom.ua/p951296109-gril-barbekyu-goodhome.html"	"https://images.ua.prom.st/1736054050_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1725.57"	"2241.0"
"Модульный гарнитур для барбекю премиум (гранит)"	""	"https://prom.ua/p386454138-modulnyj-garnitur-dlya.html"	"https://images.ua.prom.st/631678333_w640_h640_modulnyj-garnitur-dlya.jpg"	"true"	"28200.0"	"28200.0"
"Мангальная зона с угловым столом "Тамерлан" (для установки на открытую поверхность) комплектация-1"	""	"https://prom.ua/p659873417-mangalnaya-zona-uglovym.html"	"https://images.ua.prom.st/1073281726_w640_h640_mangalnaya-zona-s.jpg"	"true"	"21300.0"	"21900.0"
"Складной барбекю гриль портативный гриль Bbq Grill Portable"	""	"https://prom.ua/p973828323-skladnoj-barbekyu-gril.html"	"https://images.ua.prom.st/1796333401_w640_h640_skladnoj-barbekyu-gril.jpg"	"true"	"310.0"	"310.0"
"Мангал-сковорода из диска бороны 50 см"	"1102"	"https://prom.ua/p943089167-mangal-skovoroda-diska.html"	"https://images.ua.prom.st/1714857231_w640_h640_mangal-skovoroda-iz-diska.jpg"	"true"	"740.0"	"740.0"
"Мангал с печью под казан "Тадж-махал" комплектация-1"	""	"https://prom.ua/p105968555-mangal-pechyu-pod.html"	"https://images.ua.prom.st/1822128019_w640_h640_mangal-s-pechyu.jpg"	"true"	"10300.0"	"12320.0"
"Мангал кованый М33\2 жаровня 2 мм."	"М33\2"	"https://prom.ua/p59507299-mangal-kovanyj-m332.html"	"https://images.ua.prom.st/1009233770_w640_h640_mangal-kovanyj-m332.jpg"	"true"	"2630.0"	"2960.0"
"Чехол на мангал-чемодан на 12 шампуров"	"1258"	"https://prom.ua/p758577702-chehol-mangal-chemodan.html"	"https://images.ua.prom.st/1282728991_w640_h640_chehol-na-mangal-chemodan.jpg"	"true"	"105.0"	"105.0"
"Барбекю гриль мангал складной переносной Ferraboli Famiglia (50 х 30 х 68 см) Барбекю гриль мангал складной переносной Ferraboli Famiglia (50 х 30 х 68 см)"	"8003277001277"	"https://prom.ua/p522228954-barbekyu-gril-mangal.html"	"https://images.ua.prom.st/1845728479_w640_h640_barbekyu-gril-mangal.jpg"	"false"	"1750.0"	"1980.0"
"Уличный гриль Plamen Barbecue Round 500"	""	"https://prom.ua/p986321921-ulichnyj-gril-plamen.html"	"https://images.ua.prom.st/1831312898_w640_h640_ulichnyj-gril-plamen.jpg"	"true"	"3450.0"	"3450.0"
"Гриль барбекю GoodHome SL5434 (8040) Гриль барбекю GoodHome SL5434 (8040)"	"8040"	"https://prom.ua/p971795685-gril-barbekyu-goodhome.html"	"https://images.ua.prom.st/1791386942_w640_h640_gril-barbekyu-goodhome.jpg"	"false"	"1198.89"	"1557.0"
"Мангал кованый М33\4 жаровня 4 мм."	"М33\4"	"https://prom.ua/p750666779-mangal-kovanyj-m334.html"	"https://images.ua.prom.st/1009233770_w640_h640_mangal-kovanyj-m334.jpg"	"true"	"2760.0"	"3090.0"
"Мангал чемодан "Шашлычок" на 6 шампуров"	"5000"	"https://prom.ua/p562211004-mangal-chemodan-shashlychok.html"	"https://images.ua.prom.st/855109094_w640_h640_mangal-chemodan-shashlychok.jpg"	"true"	"280.0"	"280.0"
"Мангальный комплекс "Эмир" (цвет черный/коричневый) максимальная комплектация"	""	"https://prom.ua/p465553563-mangalnyj-kompleks-emir.html"	"https://images.ua.prom.st/664365510_w640_h640_mangalnyj-kompleks-emir.jpg"	"true"	"60600.0"	"69100.0"
